,State/UT,CR,CCS,CON,CDIS,CAQ,PAR,PCS,PCV,PDIS,PAQ
0,Andhra Pradesh,931.0,198.0,4.0,0.0,70.0,388.0,269.0,5.0,4.0,102.0
1,Arunachal Pradesh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Assam,1120.0,179.0,0.0,0.0,1.0,1261.0,726.0,0.0,0.0,1.0
3,Bihar,433.0,251.0,2.0,0.0,19.0,884.0,265.0,3.0,0.0,20.0
4,Chhattisgarh,171.0,78.0,9.0,4.0,8.0,128.0,127.0,9.0,4.0,18.0
5,Goa,13.0,4.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0
6,Gujarat,458.0,190.0,0.0,0.0,2.0,472.0,437.0,0.0,0.0,2.0
7,Haryana,504.0,130.0,11.0,0.0,77.0,211.0,197.0,12.0,0.0,168.0
8,Himachal Pradesh,56.0,15.0,2.0,0.0,14.0,34.0,17.0,2.0,0.0,19.0
9,Jharkhand,720.0,115.0,3.0,2.0,4.0,368.0,155.0,3.0,2.0,4.0
10,Karnataka,3174.0,130.0,0.0,0.0,39.0,294.0,163.0,0.0,0.0,60.0
11,Kerala,320.0,144.0,8.0,0.0,43.0,240.0,159.0,9.0,0.0,47.0
12,Madhya Pradesh,490.0,349.0,7.0,2.0,7.0,544.0,548.0,9.0,2.0,10.0
13,Maharashtra,3604.0,720.0,11.0,0.0,48.0,1716.0,1196.0,10.0,3.0,63.0
14,Manipur,74.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
15,Meghalaya,39.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0
16,Mizoram,10.0,7.0,2.0,0.0,1.0,10.0,7.0,2.0,0.0,1.0
17,Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Odisha,824.0,143.0,1.0,0.0,4.0,200.0,200.0,1.0,0.0,4.0
19,Punjab,176.0,60.0,2.0,2.0,21.0,223.0,111.0,2.0,2.0,27.0
20,Rajasthan,1304.0,184.0,5.0,7.0,11.0,374.0,357.0,5.0,7.0,20.0
21,Sikkim,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Tamil Nadu,228.0,70.0,0.0,0.0,9.0,208.0,99.0,0.0,0.0,12.0
23,Telangana,1209.0,266.0,1.0,0.0,64.0,808.0,428.0,1.0,0.0,92.0
24,Tripura,7.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0
25,Uttar Pradesh,4971.0,1700.0,79.0,2.0,42.0,2726.0,2576.0,83.0,2.0,63.0
26,Uttarakhand,124.0,47.0,1.0,0.0,1.0,55.0,58.0,2.0,0.0,2.0
27,West Bengal,568.0,133.0,1.0,0.0,3.0,266.0,99.0,1.0,0.0,4.0
28,A&N Islands,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
29,Chandigarh,32.0,13.0,1.0,0.0,5.0,30.0,20.0,1.0,0.0,5.0
30,D&N Haveli and Daman & Diu+,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
31,Delhi,162.0,38.0,2.0,2.0,0.0,105.0,69.0,2.0,2.0,0.0
32,Jammu & Kashmir*,63.0,11.0,0.0,0.0,4.0,17.0,12.0,0.0,0.0,4.0
34,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Puducherry,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,TOTAL (ALL INDIA),21796.0,5180.0,152.0,22.0,500.0,11601.0,8306.0,162.0,30.0,751.0
