,State/UT,CR,CCS,CON,CDIS,CAQ,PAR,PCS,PCV,PDIS,PAQ
0,Andhra Pradesh,1875,374,8,0,49,363,515,8,0,53
1,Arunachal Pradesh,47,3,0,0,0,5,3,0,0,0
2,Assam,4846,579,2,2,88,6096,931,2,2,149
3,Bihar,1413,424,2,0,1,980,520,2,0,1
4,Chhattisgarh,352,200,0,0,1,260,245,0,0,4
5,Goa,36,18,0,0,2,42,22,0,0,2
6,Gujarat,1536,715,0,1,15,1395,1394,0,1,15
7,Haryana,622,326,3,0,37,647,601,4,0,61
8,Himachal Pradesh,70,63,1,0,1,68,77,1,0,1
9,Jharkhand,953,400,25,0,30,1414,1215,45,0,30
10,Karnataka,8136,5801,10,0,68,615,5967,12,0,83
11,Kerala,626,287,2,22,14,447,345,2,40,14
12,Madhya Pradesh,589,487,50,14,75,803,802,119,23,101
13,Maharashtra,5562,1428,23,8,48,2475,1914,60,8,50
14,Manipur,67,2,0,0,0,31,2,0,0,0
15,Meghalaya,107,6,0,0,1,2,8,0,0,1
16,Mizoram,30,20,3,0,0,31,21,3,0,0
17,Nagaland,8,0,0,0,0,1,0,0,0,0
18,Odisha,2037,313,0,0,2,363,412,0,0,2
19,Punjab,551,188,4,0,12,416,247,4,0,35
20,Rajasthan,1504,502,23,21,25,861,864,40,22,33
21,Sikkim,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,1076,147,6,0,30,612,198,8,0,36
23,Telangana,10303,1361,19,0,24,1478,2179,21,0,31
24,Tripura,24,10,0,0,0,8,10,0,0,0
25,Uttar Pradesh,8829,4407,292,17,42,6887,6006,387,17,62
26,Uttarakhand,718,158,0,0,0,207,266,0,0,0
27,West Bengal,513,307,17,1,6,246,336,17,1,6
28,A&N Islands,8,3,0,0,0,12,4,0,0,0
29,Chandigarh,15,6,0,1,3,9,7,0,1,3
30,D&N Haveli and Daman & Diu+,5,2,0,0,0,4,4,0,0,0
31,Delhi,356,157,1,0,0,494,336,1,0,0
32,Jammu & Kashmir*,154,49,0,0,3,102,60,0,0,5
33,Ladakh,5,0,0,0,0,0,0,0,0,0
34,Lakshadweep,1,1,0,0,0,0,1,0,0,0
35,Puducherry,0,0,0,0,0,0,0,0,0,0
36,TOTAL (ALL INDIA),52974,18744,491,87,577,27374,25512,736,115,778
