,State/UT,CR,CCS,CON,CDIS,CAQ,PAR,PCS,PCV,PDIS,PAQ
0,Andhra Pradesh,1207.0,243.0,10.0,9.0,33.0,522.0,412.0,14.0,10.0,59.0
1,Arunachal Pradesh,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Assam,2022.0,201.0,3.0,1.0,38.0,1730.0,224.0,3.0,2.0,38.0
3,Bihar,374.0,229.0,0.0,0.0,0.0,357.0,330.0,0.0,0.0,0.0
4,Chhattisgarh,139.0,78.0,3.0,0.0,13.0,118.0,109.0,3.0,0.0,16.0
5,Goa,29.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0
6,Gujarat,702.0,334.0,0.0,0.0,2.0,786.0,647.0,0.0,0.0,2.0
7,Haryana,418.0,184.0,5.0,0.0,34.0,260.0,252.0,5.0,0.0,48.0
8,Himachal Pradesh,69.0,25.0,0.0,0.0,2.0,19.0,27.0,0.0,0.0,3.0
9,Jharkhand,930.0,186.0,34.0,0.0,15.0,450.0,362.0,38.0,0.0,19.0
10,Karnataka,5839.0,139.0,1.0,0.0,43.0,378.0,198.0,1.0,0.0,76.0
11,Kerala,340.0,203.0,8.0,3.0,31.0,298.0,256.0,12.0,3.0,31.0
12,Madhya Pradesh,740.0,575.0,19.0,3.0,54.0,735.0,808.0,25.0,4.0,76.0
13,Maharashtra,3511.0,1052.0,10.0,1.0,50.0,2118.0,1449.0,22.0,1.0,64.0
14,Manipur,29.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
15,Meghalaya,74.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
16,Mizoram,6.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
17,Nagaland,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
18,Odisha,843.0,219.0,0.0,0.0,2.0,254.0,284.0,0.0,0.0,3.0
19,Punjab,239.0,80.0,5.0,1.0,19.0,258.0,118.0,7.0,1.0,27.0
20,Rajasthan,1104.0,232.0,2.0,1.0,8.0,418.0,411.0,3.0,1.0,10.0
21,Sikkim,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
22,Tamil Nadu,295.0,131.0,11.0,1.0,24.0,326.0,185.0,11.0,1.0,47.0
23,Telangana,1205.0,480.0,0.0,0.0,29.0,699.0,601.0,0.0,0.0,53.0
24,Tripura,20.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
25,Uttar Pradesh,6280.0,2325.0,373.0,7.0,89.0,3437.0,3238.0,445.0,7.0,117.0
26,Uttarakhand,171.0,55.0,2.0,0.0,2.0,92.0,75.0,3.0,0.0,6.0
27,West Bengal,335.0,186.0,3.0,0.0,8.0,159.0,198.0,3.0,0.0,8.0
28,A&N Islands,7.0,9.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0
29,Chandigarh,30.0,13.0,3.0,0.0,7.0,13.0,13.0,3.0,0.0,7.0
30,D&N Haveli and Daman & Diu+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Delhi,189.0,32.0,2.0,9.0,1.0,83.0,49.0,2.0,9.0,2.0
32,Jammu & Kashmir*,73.0,14.0,0.0,0.0,6.0,19.0,19.0,0.0,0.0,12.0
34,Lakshadweep,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35,Puducherry,14.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0
36,TOTAL (ALL INDIA),27248.0,7234.0,495.0,36.0,513.0,13569.0,10288.0,601.0,39.0,728.0
