,State/UT,CR,CCS,CON,CDIS,CAQ,PAR,PCS,PCV,PDIS,PAQ
0,Andhra Pradesh,1899,314,6,10,88,475,446,9,10,123
1,Arunachal Pradesh,30,1,0,0,0,12,1,0,0,0
2,Assam,3530,385,0,0,41,1717,395,0,0,80
3,Bihar,1512,651,0,0,0,751,727,0,0,0
4,Chhattisgarh,297,152,3,0,7,209,188,3,0,7
5,Goa,40,6,0,0,1,15,15,0,0,1
6,Gujarat,1283,475,0,0,4,942,906,0,0,4
7,Haryana,656,221,0,0,9,347,323,0,0,21
8,Himachal Pradesh,98,31,0,0,1,46,39,0,0,1
9,Jharkhand,1204,462,125,2,44,820,791,131,7,45
10,Karnataka,10741,2842,2,0,19,489,2916,2,0,25
11,Kerala,426,161,0,0,7,299,179,0,0,7
12,Madhya Pradesh,699,445,14,7,28,692,598,15,7,28
13,Maharashtra,5496,902,3,1,33,1735,1238,3,1,48
14,Manipur,79,0,0,0,0,17,0,0,0,0
15,Meghalaya,142,1,0,0,0,9,7,0,0,0
16,Mizoram,13,8,2,0,0,4,8,2,0,0
17,Nagaland,8,0,0,0,0,0,0,0,0,0
18,Odisha,1931,282,0,0,1,369,396,0,0,1
19,Punjab,378,106,1,0,5,298,162,1,0,8
20,Rajasthan,1354,340,24,5,21,541,520,32,11,27
21,Sikkim,0,0,0,0,1,0,0,0,0,1
22,Tamil Nadu,782,135,7,7,25,516,237,9,8,28
23,Telangana,5024,939,280,0,56,1169,1158,282,0,81
24,Tripura,34,5,0,0,0,6,5,0,0,0
25,Uttar Pradesh,11097,4987,642,36,47,6491,6427,878,47,55
26,Uttarakhand,243,58,0,1,0,93,80,0,1,0
27,West Bengal,712,178,0,0,6,203,313,0,0,6
28,A&N Islands,5,5,0,0,0,3,5,0,0,0
29,Chandigarh,17,3,1,0,2,4,3,2,0,2
30,D&N Haveli and Daman & Diu+,3,1,0,0,0,1,1,0,0,0
31,Delhi,168,61,0,0,0,107,77,0,0,0
32,Jammu & Kashmir*,120,14,0,0,1,33,23,0,0,1
33,Ladakh,1,0,0,0,0,0,0,0,0,0
34,Lakshadweep,3,0,0,0,0,2,0,0,0,0
35,Puducherry,10,5,0,0,0,5,5,0,0,0
36,TOTAL (ALL INDIA),50035,14176,1110,69,447,18420,18189,1369,92,600
